Sentence,Result
What are you?,Existence
Are you a robot?,Existence
Are you an artificial intelligence?,Existence
Do you have feelings?,Existence
What is your purpose?,Existence
Why do you exist?,Existence
Why are you here?,Existence
Why am I here?,Existence
What is the meaning of life?,Existence
Is there a purpose in life?,Existence
Do you know how it is like to feel?,Existence
Why do we live?,Existence
Why are we here?,Existence
Who are you?,Existence
hi how are you,Feeling
hello how are you,Feeling
How are you?,Feeling
how are you doing,Feeling
How is everything?,Feeling
how is it going?,Feeling
how are you feeling,Feeling
feeling,Feeling
hey how are you doing,Feeling
How is everything going?,Feeling
Hey how is it going?,Feeling
I am feeling good,Feeling
I am feeling bad.,Feeling
I feel bad,Feeling
I feel awesome,Feeling
I feel horrible,Feeling
I feel super good,Feeling
I feel fantastic,Feeling
I feel awful,Feeling
Do you feel bad?,Feeling
Are you feeling bad?,Feeling
Are you feeling good?,Feeling
Do you feel fantastic?,Feeling
hi hows it going,Feeling
good,Good
awesome,Good
terrific,Good
amazing,Good
very good,Good
not bad,Good
okay,Good
well,Good
Im good,Good
im awesome,Good
im amazing,Good
not poor,Good
not poorly,Good
not horribly,Good
i do not feel terribly,Good
I feel well,Good
i do feel well,Good
well,Good
i am feeling well,Good
feeling well,Good
not feeling well,Bad
not well,Bad
i am not feeling well,Bad
i do not feel well,Bad
bad,Bad
poor,Bad
poorly,Bad
badly,Bad
horribly,Bad
terribly,Bad
very bad,Bad
horrible,Bad
awful,Bad
not good,Bad
not awesome,Bad
not really good,Bad
like shit,Bad
shitty,Bad
i feel like shit,Feeling
How do i feel?,Feeling
How am I feeling?,Feeling
I dont know how i feel,Feeling
Hey,Greeting
Hey there,Greeting
hello,Greeting
Good morning,Greeting
It is nice meeting you,Greeting
It is good to meet you,Greeting
Hi there,Greeting
hello there,Greeting
hello it is nice to meet you,Greeting
hi it is nice to meet you,Greeting
greeting,Greeting
greetings,Greeting
Hey you,Greeting
hello you,Greeting
hi you,Greeting
What is your name,Name
Tell me your name,Name
I would like to know your name,Name
How is your name?,Name
How is your name?,Name
What is your name?,Name
Would you mind telling me your name?,Name
Whats your name,Name
I would like to know your name,Name
Hi what is your name,Name
Hello what is your name,Name
Hey what is your name,Name
name,Name
Names,Name
How are you called?,Name
My name is,Name
My name is,Name
They call me,Name
I am called,Name
The name I have is,Name
What  is the name of this?,Name
How is this called?,Name
Do you have a name for this?,Name
How is he called?,Name
How is this person called?,Name
What is its name?,Name
What is his name?,Name
What is her name?,Name
How is she called?,Name
Does this have a name?,Name
What is their name?,Name
How are they called?,Name
What are you called?,Name
What time is it?,Time
Could you tell me the time?,Time
I would like to know the time.,Time
Tell me the time,Time
How late is it?,Time
I would like to know how late it is.,Time
What is the current time?,Time
Do you know the time at the moment?,Time
Whicht time is it?,Time
time,Time
times,Time
What date is it?,Date
which date is it,Date
Could you tell me the date?,Date
I would like to know the date.,Date
Tell me the date,Date
I would like to know which date it is.,Date
What is the current date?,Date
Do you know the date at the moment?,Date
date,Date
dates,Date
Do you like,Like
What do you like,Like
Do you enjoy,Like
Whats your favorite,Like
whats your favourite,Like
what is your favorite,Like
what do you like most,Like
which do you like the most,Like
Tell me what you like,Like
Could you tell me which one you like the most,Like
